NumWords,312835
NumTerms,1498

terms,allen-p,arnold-j,arora-h,badeer-r,bailey-s,bass-e,baughman-d,beck-s,benson-r,blair-l,brawner-s,buy-r,campbell-l,carson-m,cash-m,causholli-m,corman-s,crandell-s,cuilla-m,dasovich-j,davis-d,dean-c,delainey-d,derrick-j,donoho-l,donohoe-t,dorland-c,ermis-f,farmer-d,fischer-m,forney-j,gang-l,gay-r,geaccone-t,germany-c,gilbertsmith-d,giron-d,griffith-j,grigsby-m,haedicke-m,hayslett-r,heard-m,hendrickson-s,hernandez-j,hodge-j,holst-k,horton-s,hyatt-k,jones-t,kaminski-v,kean-s,keavey-p,keiser-k,king-j,kitchen-l,kuykendall-t,lavorato-j,lay-k,lenhart-m,lewis-a,lokay-m,lokey-t,love-p,lucci-p,maggi-m,mann-k,martin-t,may-l,mccarty-d,mcconnell-m,mckay-b,mckay-j,mclaughlin-e,meyers-a,mims-thurston-p,motley-m,neal-s,nemec-g,panus-s,parks-j,pereira-s,perlingiere-d,phanis-s,pimenov-v,platter-p,presto-k,quenet-j,quigley-d,rapp-b,reitmeyer-j,richey-c,ring-a,ring-r,rogers-b,ruscitti-k,sager-e,saibi-e,salisbury-h,sanchez-m,sanders-r,scholtes-d,schoolcraft-d,schwieger-j,scott-s,semperger-c,shackleton-s,shankman-j,shapiro-r,shively-h,skilling-j,slinger-r,smith-m,solberg-g,staab-t,steffes-j,stepenovitch-j,storey-g,sturm-f,swerzbin-m,taylor-m,tholt-j,thomas-p,townsend-j,tycholiz-b,ward-k,watson-k,weldon-c,whalley-g,white-s,whitt-m,williams-j,williams-w3,wolfe-j,ybarbo-p,zipper-a,zufferli-j,TotalNumInDataSet
filename,0,0,0,0,9,17,23,112,0,350,8,47,11,0,118,0,70,0,17,254,7,0,11,50,78,0,0,0,0,7,89,0,1,73,324,0,21,0,52,13,153,231,0,9,0,0,21,51,108,402,83,0,53,0,202,7,61,0,63,0,31,30,104,0,0,28,0,0,21,11,0,0,27,0,0,0,21,156,13,23,0,55,2,0,7,130,0,0,33,0,0,0,0,0,0,50,0,17,0,42,21,142,0,0,45,165,4,0,0,0,5,28,0,8,369,0,0,0,0,74,0,0,0,27,61,128,23,0,104,44,0,148,17,0,14,0,5434
hou,116,102,0,0,0,0,0,438,0,0,43,75,27,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,222,57,0,0,0,0,250,0,16,0,0,0,0,0,50,11,79,0,46,0,0,627,65,9,0,0,0,0,305,0,84,7,0,0,0,0,0,0,33,7,0,0,0,0,0,0,29,0,183,41,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,219,177,0,31,26,102,0,0,159,549,0,0,0,0,215,76,0,0,0,0,0,0,202,0,0,49,0,0,0,0,0,0,153,5,0,0,71,0,0,0,0,0,5194
x,0,0,0,0,8,17,0,102,0,313,8,44,9,0,118,0,67,0,18,0,7,0,10,50,78,0,0,1,0,7,89,0,1,66,325,0,21,0,48,13,149,203,0,0,0,0,21,51,106,402,76,0,53,0,186,0,55,0,56,0,31,28,98,0,0,28,0,0,21,0,0,0,27,0,0,0,19,156,13,23,0,55,2,0,0,128,0,0,31,0,0,0,0,0,0,51,0,17,0,42,21,116,0,0,42,165,3,0,0,0,0,28,0,8,361,0,0,0,0,71,0,0,0,27,57,128,23,0,104,44,0,261,17,0,0,0,5024
non,0,0,0,0,10,16,28,84,0,466,8,52,13,0,132,56,82,0,29,362,8,3,12,27,0,0,0,0,0,12,112,0,1,88,0,0,0,0,78,14,183,290,0,14,0,0,18,57,160,239,107,12,0,0,112,0,0,0,0,0,35,33,92,0,0,30,0,0,24,12,0,20,50,0,0,0,0,172,14,0,0,56,2,0,0,125,0,0,40,0,0,0,9,0,0,60,0,0,0,51,0,203,0,0,0,182,5,0,0,0,0,0,0,10,454,0,0,0,0,100,14,0,0,29,72,134,0,4,46,0,0,0,27,0,0,0,4990
privileged,0,0,0,0,10,16,28,0,0,462,8,52,12,0,128,56,75,0,27,346,9,0,11,27,86,0,0,0,0,10,103,0,1,88,0,0,0,0,77,14,181,285,0,14,0,0,15,56,144,222,102,0,0,0,102,8,0,0,0,0,32,33,75,0,0,28,0,0,23,12,0,0,49,0,0,0,0,166,14,0,0,56,2,0,0,115,0,0,40,0,0,0,0,0,0,59,0,0,0,64,0,198,0,0,0,173,4,0,0,0,0,0,0,10,431,0,0,0,0,94,12,0,0,27,71,134,0,4,41,47,0,0,24,0,0,0,4813
up,47,64,0,2,0,30,0,108,0,132,9,41,10,0,0,42,97,0,21,311,0,4,10,0,27,5,59,0,36,0,68,0,0,15,176,4,21,9,0,5,21,0,20,19,0,0,19,36,22,0,55,0,66,2,75,15,58,0,129,0,0,0,72,39,0,16,26,0,15,13,0,40,0,0,46,0,0,39,0,18,8,0,0,0,13,69,0,0,0,7,51,0,0,20,16,49,0,0,30,42,0,0,24,256,32,0,0,0,0,0,9,37,0,0,95,9,0,19,0,50,0,28,0,60,76,76,0,4,41,18,12,112,16,0,31,19,3543
out,44,73,10,0,0,33,0,110,7,121,0,30,13,11,42,0,86,0,25,315,3,7,0,0,31,7,68,0,38,15,81,0,0,22,223,6,22,7,0,8,33,0,21,11,0,0,15,49,24,0,60,0,27,0,58,21,35,0,120,0,0,12,56,45,4,0,32,0,0,20,2,50,0,0,45,0,0,41,0,30,10,0,0,0,14,0,0,0,0,5,33,4,0,9,15,0,3,14,41,27,11,0,0,254,30,0,7,0,0,22,11,42,7,16,86,9,11,0,0,64,14,0,0,49,99,77,0,9,44,12,16,123,9,0,21,0,3487
need,50,40,5,0,0,13,0,0,0,135,0,58,0,0,36,0,76,0,0,0,5,6,10,0,27,4,31,2,53,9,95,7,2,47,181,0,21,10,0,7,62,146,11,0,0,0,33,35,32,0,0,0,82,0,118,0,54,0,52,0,0,10,70,17,0,32,27,0,0,0,0,48,0,0,45,0,16,71,0,27,0,0,0,5,0,105,0,0,0,7,18,0,0,8,0,0,0,23,0,48,7,68,30,0,26,92,0,0,8,0,0,41,0,8,152,0,0,19,0,64,15,17,3,33,122,61,28,8,53,26,0,101,9,0,16,14,3153
enronxgate,0,91,0,0,0,0,0,294,0,268,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,198,189,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,83,58,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,156,0,0,0,0,48,0,58,0,385,0,0,0,0,160,64,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568
time,29,49,7,0,0,24,0,127,0,0,10,32,14,0,0,39,78,0,0,0,4,5,0,0,26,5,28,1,0,0,73,0,0,0,0,6,0,0,0,12,28,0,12,9,0,6,34,36,0,138,50,0,0,0,62,13,39,0,0,5,0,12,42,29,4,0,29,8,13,14,2,41,0,4,45,2,17,0,0,16,9,0,0,0,7,59,0,0,0,7,23,10,0,11,16,0,0,0,35,0,17,0,21,208,22,0,0,0,0,32,6,0,0,8,78,9,0,14,0,74,12,20,0,50,62,62,0,9,36,16,11,121,0,25,15,16,2400
sent,0,0,0,0,0,0,20,0,0,207,0,36,0,0,81,0,131,0,0,0,4,0,11,0,22,0,0,5,0,0,0,0,0,55,141,0,15,0,36,0,249,93,0,0,0,0,0,0,42,0,44,0,0,0,198,0,0,0,64,0,19,16,0,0,0,89,0,0,14,0,0,0,29,0,0,2,11,0,0,0,0,49,0,0,0,44,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,87,0,0,0,51,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,56,0,0,0,35,0,0,111,8,0,0,13,2222
pm,28,0,0,0,0,0,0,93,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,0,0,0,226,0,0,0,0,0,0,0,0,0,67,0,0,28,0,148,0,0,0,0,0,0,42,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,69,1,812,0,0,0,0,0,0,0,67,0,20,0,85,0,0,53,154,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,34,0,0,0,30,0,0,42,0,0,2106
call,33,41,9,0,0,0,14,0,0,0,0,0,8,0,43,0,61,0,0,281,7,8,0,0,0,0,46,2,0,0,52,0,0,17,0,0,16,13,0,0,0,0,0,0,0,5,23,24,35,0,0,0,0,1,0,0,50,0,0,0,0,0,0,20,0,13,19,8,17,0,3,0,0,0,47,0,0,0,0,30,0,85,1,0,0,0,0,0,0,0,20,0,0,14,0,95,0,0,18,75,8,0,0,113,30,61,0,0,0,0,0,0,7,16,195,11,16,0,0,0,18,0,1,34,133,74,0,4,0,13,0,82,0,0,18,14,2102
think,0,79,8,2,0,33,0,0,0,0,0,34,0,0,73,0,0,0,0,0,4,3,0,0,26,0,64,0,0,6,56,8,0,0,143,0,0,9,0,11,38,0,15,0,0,0,14,0,0,0,70,0,0,0,71,17,50,0,105,3,0,0,0,20,5,28,26,0,20,0,0,20,0,3,0,0,24,0,0,20,13,0,0,5,13,52,0,0,12,8,45,4,0,23,14,0,0,0,23,0,0,0,26,206,0,0,0,0,0,0,0,28,0,11,132,9,0,0,0,59,11,19,0,36,80,55,0,5,0,19,0,0,0,0,30,20,2066
subject,29,91,0,0,0,0,0,110,0,142,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,13,0,0,0,0,130,0,0,0,0,0,0,0,10,8,0,0,21,0,0,303,62,8,0,0,0,0,59,0,59,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,27,39,91,0,0,57,142,0,0,0,0,8,54,0,0,0,0,0,0,11,0,0,0,0,16,0,0,0,0,63,0,0,0,39,0,0,27,0,0,1832
gas,34,51,0,2,0,0,0,0,8,131,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,6,0,2,55,0,0,0,0,0,434,0,0,5,0,0,0,0,0,0,16,7,0,42,0,0,0,0,42,2,54,0,43,0,0,0,37,0,0,13,0,0,31,0,0,16,0,0,0,0,42,0,11,58,0,36,0,48,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,79,47,0,0,0,0,0,15,0,0,16,0,13,0,0,14,12,0,0,42,0,0,47,116,0,0,0,0,20,0,0,10,0,20,28,1825
et,0,0,0,0,0,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798
jeff,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,13,0,0,0,55,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,17,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707
going,0,48,6,2,0,36,0,0,0,0,0,0,10,0,0,0,0,0,19,0,0,0,0,0,25,5,103,0,32,0,0,14,0,0,193,0,16,9,0,0,0,0,16,0,0,0,18,0,0,0,0,0,0,0,0,8,0,0,144,3,0,0,58,27,7,0,17,0,11,0,0,55,0,0,42,7,0,0,0,19,10,0,0,0,0,0,0,0,0,4,44,9,0,20,32,0,4,0,23,0,7,0,0,211,30,0,4,0,0,0,8,26,0,0,85,9,0,0,0,0,17,16,0,43,85,0,0,0,0,0,11,0,0,0,16,13,1677
corp,106,0,0,0,8,0,0,129,0,0,11,33,9,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,16,0,0,0,0,0,0,0,199,17,17,83,0,40,0,0,139,44,0,0,0,0,0,166,0,0,4,0,0,0,0,3,0,0,10,0,0,0,0,21,0,0,0,49,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,21,168,0,47,0,0,28,56,0,0,0,0,0,0,24,0,0,0,0,15,0,0,0,0,42,0,0,0,12,0,0,0,0,0,1650
pst,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644
ll,0,48,0,0,0,0,0,0,0,0,0,0,0,0,47,0,87,0,0,283,0,0,0,0,26,0,47,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,42,0,13,0,0,25,19,0,21,0,0,56,0,0,0,0,0,15,0,0,0,13,0,0,0,11,0,30,0,0,9,31,0,4,0,42,0,12,0,0,233,0,0,5,0,0,21,0,36,0,38,82,12,0,26,0,44,0,0,0,0,0,73,23,5,0,0,9,0,0,0,0,13,1566
m,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,4,0,0,0,34,0,0,0,24,9,0,13,0,0,262,0,22,0,0,0,0,0,33,13,0,0,0,27,0,0,0,0,0,2,0,14,45,0,0,0,0,0,0,47,0,21,0,6,0,14,0,44,0,0,65,0,0,0,0,0,10,0,0,0,0,0,2,0,24,0,0,0,0,0,14,0,6,0,25,0,16,0,0,380,0,0,7,1,0,31,7,51,0,18,0,20,0,25,0,51,0,0,1,0,0,65,0,4,0,0,0,0,0,0,0,0,1562
power,33,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,3,0,0,0,0,0,0,0,11,0,5,0,0,0,0,58,0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,126,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,13,0,0,36,0,0,0,0,0,0,44,0,0,0,0,0,0,29,1554
don,30,0,0,0,0,0,82,0,0,0,0,37,0,0,38,0,0,0,0,0,4,0,0,0,0,0,37,2,29,6,0,7,0,16,194,0,17,0,0,0,0,0,10,14,0,0,0,36,0,0,0,0,30,0,60,0,47,0,80,0,0,8,0,30,0,21,25,0,12,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,11,70,0,0,0,6,52,0,0,0,16,0,6,0,0,23,8,0,0,131,0,0,3,0,0,0,0,25,0,0,130,12,0,14,0,0,0,0,2,0,0,0,0,14,0,0,0,0,7,0,24,21,1464
lynn,0,0,0,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380
see,0,0,8,0,0,16,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,16,29,0,0,0,0,0,53,0,0,0,144,0,26,0,0,0,0,0,0,0,0,0,21,32,0,0,53,0,28,0,56,17,0,0,0,3,0,0,45,16,0,16,19,0,12,0,0,0,0,0,28,0,0,51,0,17,0,52,0,0,7,0,0,0,0,0,35,0,0,12,0,55,0,0,0,0,0,0,0,169,31,0,0,0,0,0,0,0,0,18,0,7,0,0,0,0,0,16,0,0,52,73,0,8,0,21,0,67,0,0,15,0,1359
one,0,0,13,0,0,21,0,135,13,0,12,0,13,0,37,0,79,0,0,0,4,0,0,0,0,0,48,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,12,0,0,0,0,40,0,117,48,0,0,0,74,7,0,0,45,0,0,0,0,0,0,13,0,0,20,0,0,41,0,3,20,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23,118,22,0,3,0,0,0,5,25,0,12,0,0,0,0,0,88,10,29,1,0,58,45,0,0,0,13,0,0,8,0,17,0,1340
vince,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317
good,0,42,10,0,0,33,0,0,0,0,0,28,0,0,0,42,0,0,0,0,0,0,0,0,23,0,42,2,0,0,52,0,0,0,0,0,17,0,0,0,0,0,14,0,0,6,20,29,0,0,0,0,0,0,0,18,0,0,62,0,0,0,0,17,4,16,0,0,0,13,0,33,0,0,32,0,0,0,0,0,0,0,0,0,13,52,0,0,0,8,44,5,0,28,0,0,4,0,25,0,0,0,0,191,48,0,0,0,0,0,0,0,0,0,86,25,0,10,0,46,12,0,0,28,0,0,0,0,0,19,0,84,0,0,25,0,1308
meeting,29,0,0,0,0,0,0,234,0,184,0,54,0,0,0,0,68,0,0,0,0,0,5,31,33,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,31,0,112,0,0,0,0,0,0,38,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,10,0,0,0,0,0,87,0,0,11,0,0,15,0,0,25,0,115,0,4,35,0,0,0,0,0,0,0,1304
mail,0,0,0,0,0,14,273,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,24,0,0,0,0,128,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,38,36,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,60,4,0,0,77,0,0,29,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,109,0,63,0,0,0,11,0,0,0,0,0,1265
mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1212
columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174
